department;number;valid_to;call_sign;category;transmitter_power;operator_1;operator_2;operator_3;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number
UKE-GdaÒsk;0027/K/E/2011;2016-05-20;SP2PHA;1;150;SQ2AJS;SQ2AJN;SP2QCR;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;"Radioklub ""Jantar""";STEGNA;ul. GdaÒska;34;;STEGNA;ul. GdaÒska;34;
UKE-RzeszÛw;2/K/O/2011;2016-06-20;SP8KPK;1;500;SP8MFW;SP8UWT;SP7CHK;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;MiÍdzyszkolny Klub Radio≥πcznoúci SP8KPK przy Zespole SzkÛ≥ Nr 1 w Stalowej Woli;Stalowa Wola;ul. Hutnicza;17;301;Stalowa Wola;ul. Hutnicza;17;301
UKE-Wroc≥aw;90/K/R/2011;2016-06-28;SP6PKO;1;500;SP6OPL;SP6BPT;SP6RLL;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Klub KrÛtkofalowcÛw PZK przy CKiT w Walimiu;Walim;Koúciuszki;2;;Walim;ul. T. Koúciuszki;2;
UKE-PoznaÒ;11/T/K/N/2016;2016-06-30;SN60PPC;T;100;SQ3OPM;SP3BVA;SO3ALG;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;SZKOLNY KLUB KR”TKOFALOWC”W IM.GEN.BRONI KAZIMIERZA RASZEWSKIEGO;POZNA—;LESZKA;42;;POZNA—;LESZKA;42;
UKE-Wroc≥aw;12/K/R/2011;2016-07-01;SP6PAX;1;500;SP6BXP;SP6RGC;SP6NXZ;Sudecki Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw;Kamienna GÛra;ul. Piastowska;3;;"Klub KrÛtkofalowcÛw PZK przy SM ""SZAROTKA""";Kamienna GÛra;S≥owackiego;28;;Kamienna GÛra;ul. Cicha;8 A;
UKE-PoznaÒ;12/K/N/2011;2016-07-10;SP3PML;1;150;SP3EAT;SP3SXX;SP3AAA;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;WOJSKOWY KLUB KR”TKOFALOWC”W I RADIOAMATOR”W PZK;POZNA—;DOJAZD;30;;POZNA—;DOJAZD;30;
UKE-Olsztyn;2/K/M/2011;2016-07-11;SP4PND;1;500;SP4JCP;SP4ETO;SP4CUF;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Koniewo;;20;
UKE-Olsztyn;3/K/M/2011;2016-07-11;SP4PIN;1;500;SP4KA;SP4ETO;SP4AAZ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Olsztyn;Ba≥tycka;37A;
UKE-Warszawa;33/K/B/2016;2016-07-17;SN15WKD;T;500;SP5CCK;;;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;Grodzisk Maz.;ul. Sienkiewicza;27;41
UKE-Olsztyn;4/K/M/2011;2016-07-18;SP4POB;1;500;SP4MPG;SP4MPB;SP4DEU;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Barczewko;;133;
