number;valid_to;call_sign;category;transmitter_power;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number
DZC.WML.5101.2305.2017.2;2027-11-28;SP8ZKX;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Ustrzyki Dolne;1 Maja;"";""
DZC.WML.5101.124.2018.2;2028-01-12;SP9PJS;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Jastrzêbie-Zdrój;Wojska Polskiego;"";""
DZC.WML.5101.369.2018.2;2028-02-06;SP9KVC;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Czerwionka-Leszczyny;3 Maja;"";SITG
DZC.WML.5101.760.2018.2;2019-03-08;SN20ZC;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";¯ywiec;ks.pra³.St.S³onki;"";""
109/K/L/2009;2019-04-20;SP7YLD;Kategoria1;150;Stowarzyszenie Krótkofalowców Regionu £ódzkiego;£ódŸ;Piêkna;65/67;25;Stowarzyszenie Krótkofalowców Regionu £ódzkiego;£ódŸ;Piêkna;65/67;25;£ódŸ;Piêkna;"";25
112/K/L/2009;2019-08-27;SP7YLZ;Kategoria1;500;Stowarzyszenie Niezale¿nych Krótkofalowców;£ódŸ;Œmig³ego Rydza;40;28;Stowarzyszenie Niezale¿nych Krótkofalowców;£ódŸ;Œmig³ego Rydza;40;28;£ódŸ;Œmig³ego Rydza;"";28
181/K/L/2016;2026-09-08;SP7KZK;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Sieradzki Klub Krótkofalowców PZK;Sieradz;Taczanowskiego;6/7;"";Sieradz;plac Wojewódzki;"";""
148/K/L/2014;2019-03-19;SP7PZS;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Zduñskowolski Klub Krótkofalowców PZK;Zduñska Wola;Ró¿ana;2;"";Zduñska Wola;Ró¿ana;"";""
151/K/L/2014;2019-10-22;SP7KED;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Wieluñski Klub Krótkofalowców PZK;Wieluñ;Krakowskie Przedmieœcie;5;"";Ruda;D³uga;"";""
153/K/L/2015;2025-05-04;SP7ZEX;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Radio Klub Zgierz;Zgierz;D³uga;42;"";Zgierz;D³uga;"";""
156/K/L/2015;2025-07-01;SP7ZHP;Kategoria1;500;Zwi¹zek Harcerstwa Polskiego, Chor¹giew £ódzka;£ódŸ;Stefanowskiego;19;"";Klub £¹cznoœci SP7ZHP;£ódŸ;Stefanowskiego;19;"";£ódŸ;Stefanowskiego;"";""
158/K/L/2015;2025-08-26;SP7TUL;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;£ódŸ;Wólczañska;"";""
169/K/L/2015;2025-11-24;SP7SKB;Kategoria1;500;"£ódzkie Stowarzyszenie Mi³oœników Militariów ""KOMPANJA BRUS""";£ódŸ;Konstantynowska;98;"";"£ódzkie Stowarzyszenie Mi³oœników Militariów ""KOMPANJA BRUS""";£ódŸ;Konstantynowska;98;"";£ódŸ;Konstantynowska;"";""
176/K/L/2016;2026-04-04;SP7CZK;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Klub PZK przy Urzêdzie Wojewódzkim w £odzi;£ódŸ;Piotrkowska;104;"";£ódŸ;Piotrkowska;"";""
179/K/L/2016;2021-06-09;SP7PGK;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"Osiedlowy Klub PZK przy SM ""ZARZEW""";£ódŸ;Przêdzalniana;102/104;"";£ódŸ;Przêdzalniana;"";""
182/K/L/2016;2026-10-09;SP7YDD;Kategoria1;500;Klub Krótkofalowców £ódŸ - Mazury;£ódŸ;Pacanowskiej;8;32;Klub Krótkofalowców £ódŸ - Mazury;£ódŸ;Pacanowskiej;8;32;£ódŸ;Pacanowskiej;"";32
183/K/L/2016;2026-11-03;SP7PL;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Skierniewicki Klub Krótkofalowców;Skierniewice;Szarych Szeregów;6;"";Skierniewice;Szarych Szeregów;"";""
DZC.WML.5101.2310.2017.2;2027-12-06;SP6PCB;Kategoria1;500;Polski Zwi¹zek Krótkofalowców Oddzia³ Terenowy nr 11 w Opolu;Opole;Skautów Opolskich;15;XI P;"";"";"";"";"";Brzeg;Starobrzeska;"";""
DZC.WML.5101.127.2018.2;2019-02-20;SN0HQ;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Bydgoszcz;Modrzewiowa;"";1
DZC.WML.5101.2316.2017.2;2027-11-28;SP8KEZ;Kategoria1;500;Stowarzyszenie Krótkofalowców i Radioamatorów;Œwidnik;K.K.Baczyñskiego;6;6a;"";"";"";"";"";Œwidnik;K.K.Baczyñskiego;"";6a
DZC.WML.5101.2321.2017.2;2027-11-29;SP9PDG;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";D¹browa Górnicza;Legionów Polskich;"";""
2/K/K/2014;2019-03-25;SP8PAI;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Lubelski Klub Krótkofalowców Polskiego Zwi¹zku Krótkofalowców;Lublin;ul. Daszyñskiego;11;39;Lublin;ul. Daszyñskiego;"";39
1/K/K/2015;2025-11-10;SP8KIT;Kategoria1;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"Klub £¹cznoœci LOK SP8KIT przy Spó³dzielczym Klubie Kultury ""S³oneczko""";Hrubieszów;ul. Polna;19;"";Hrubieszów;ul. Polna;"";""
1/K/K/2016;2026-12-22;SP8KAF;Kategoria1;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";Lubelska Organizacja Wojewódzka LOK w Lublinie;Lublin;ul. Na³êczowska;25;"";Lublin;ul. Na³êczowska;"";""
1/K/K/2017;2027-01-16;SP0PGA;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Lubelski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Wojciechów;"";177;"";£uków;ul. Unitów Podlaskich;"";91
4/K/M/2010;2020-07-19;SP0CFF;Kategoria1;500;Towarzystwo Turystyczne i Historyczne im. Roberta Dorra;Suchacz-Zamek;Wielmo¿y;5B;"";Towarzystwo Turystyczne i Historyczne im. Roberta Dorra;Suchacz-Zamek;Wielmo¿y;5B;"";Suchacz-Zamek;Wielmo¿y;"";""
3/K/M/2014;2019-09-16;SP4KVA;Kategoria1;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";Klub £¹cznoœci LOK SP4KVA;I³awa;Wyszyñskiego;15;"";I³awa;Wyszyñskiego;"";""
7/K/M/2016;2026-07-19;SP4POB;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Barczewko;"";"";""
8/K/M/2016;2026-07-14;SP4PIN;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Olsztyn;Ba³tycka;"";""
9/K/M/2016;2026-07-14;SP4PND;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Koniewo;"";"";""
1/K/M/2017;2027-02-02;SP4PXX;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Olsztyñski Oddzia³ Polskiego Zwi¹zku Krótkofalowców;Olsztyn;Ba³tycka;37A;"";Bukwa³d;"";"";""
2/K/M/2017;2027-02-02;SP4PAL;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Olsztyñski Oddzia³ Polskiego Zwi¹zku Krótkofalowców;Olsztyn;Ba³tycka;37A;"";Braniewo;Moniuszki;"";""
36/K/T/2015;2025-06-09;SP6ZJP;Kategoria1;500;Stowarzyszenie Krótkofalowców Pogórza Opawskiego;G³ubczyce;Wi¹zowa;7;"";Stowarzyszenie Krótkofalowców Pogórza Opawskiego;G³ubczyce;Wi¹zowa;7;"";G³ubczyce;ul. Koœciuszki;"";""
