number;valid_to;call_sign;category;transmitter_power;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number;lat;lng
1/K/C/2016;2026-03-16;SP4ZHP;Kategoria1;500;Zwi¹zek Harcerstwa Polskiego, Chor¹giew Bia³ostocka;Bia³ystok;Pa³acowa;3/1;"";Zwi¹zek Harcerstwa Polskiego, Chor¹giew Bia³ostocka;Bia³ystok;Pa³acowa;3/1;"";Bia³ystok;ul. Pu³askiego;96;"";53.122437886;23.1955358301
2/K/C/2016;2026-07-14;SP4YPB;Kategoria1;500;Politechnika Bia³ostocka;Bia³ystok;ul. Wiejska;45A;"";Politechnika Bia³ostocka;Bia³ystok;ul. Wiejska;45A;"";Bia³ystok;ul. Zwierzyniecka;12;913;;
DZC.WML.5101.2248.2017.2;2027-11-15;SP5ZGO;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Siedlce;Woszczerowicza;7;33;;
DZC.WML.5101.2253.2017.3;2027-11-16;HF0ANT;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Bydgoszcz;Juliana Fa³ata;10;15;53.1149248334;17.9772258146
DZC.WML.5101.1429.2018.3;2028-05-19;SP5CI;Kategoria1;500;Ciechanowskie Stowarzyszenie Krótkofalowców;Ciechanów;17-go Stycznia;60b;"";"";"";"";"";"";Ciechanów;17-go Stycznia;60b;"";;
DC.WML.5101.586.2019.2;2029-02-14;SP7PRA;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Radomsko;ul. BrzeŸnicka;5;"";51.1011207797;19.4291511004
DC.WML.5101.3047.2019.2;2029-10-11;SP2PIK;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Ko³aczkowo;"";23;"";;
5/K/D/2015;2025-05-26;SP2ZDZ;Kategoria1;500;Chor¹giew Kujawsko-Pomorska Zwi¹zku Harcerstwa Polskiego;Bydgoszcz;ul. Dworcowa;56;"";Klub £¹cznoœci Hufca ZHP Brodnica;Brodnica;Mazurska;28;"";Brodnica;Mazurska;28;"";53.2506354345;19.3995207531
13/K/D/2015;2025-08-20;SP2TMT;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Toruñ;Chrobrego;86;"";;
1/K/D/2016;2026-01-15;SP0PZK;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Bydgoszcz;ul. Modrzewiowa;25;"";53.1209975745;18.0447200466
3/K/D/2016;2026-02-17;SP2PBM;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Bydgoszcz;Kujawska;48;33;;
8/K/D/2016;2026-04-02;SP2KPD;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;¯nin;ul. Szkolna;12;"";52.8479837378;17.712149289
9/K/D/2016;2026-04-20;SP2KFU;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Radiostacja Klubowa LOK przy Golubsko-Dobrzyñskim Domu Kultury;Golub-Dobrzyñ;ul. Hallera;13;"";Golub-Dobrzyñ;ul. Nowa;8;7;;
10/K/D/2016;2026-04-20;SP2PTU;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców im. Miko³aja Kopernika w Toruniu;Toruñ;Tuwima;9;"";Nowe Dobra;"";96;"";53.363685642;18.4587431848
18/K/D/2016;2026-05-24;SP2PWO;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;Radiostacja Klubowa PZK przy W¹brzeskim Domu Kultury;W¹brzeŸno;ul. Wolnoœci;47;"";W¹brzeŸno;ul. Wolnoœci;47;"";;
26/K/D/2016;2026-09-13;SP2KFL;Kategoria1;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";Klub £¹cznoœci Ligi Obrony Kraju SP2KFL;W³oc³awek;ul. Wronia;23;25;W³oc³awek;ul. Wronia;23;25;52.6520094917;19.0457506168
DZC.WML.5101.368.2018.2;2028-02-06;SP8HACK;Kategoria1;500;Makerspace Lublin;Lublin;Stanis³awa Leszczyñskiego;23;"";"";"";"";"";"";Lublin;Nadbystrzycka;30 N;20;;
